Name,Service ID CRM,Description,Unit Rate,Unit Price,Minus Overhead .22,Commission Rate,Commision Amount,Service Duration (hours),Product Code caT,SubCategory,Entity,Product Type,Service Tags,Product Active,Parent item,Sub-item,A-a-Cart,Bundle Savings,Form,CRM Permalink
LFCEL01,,,Unit,$30.00 ,23.4,0.2,4.68,2,DOC,,,Service,"Commission Structure, Product Management, Service Pricing",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Notary Services,,"Notary Services: Your Trusted Partner for Legal Document Authentication!

- Professional and reliable notary services
- Convenient mobile notary options available
- Fast turnaround times for document signing
- Experienced notaries ready to assist you
- Competitive pricing with no hidden fees

Ensure your important documents are legally recognized and secure. Contact us today to schedule your notary service and experience peace of mind!",Unit,$10.00 ,7.8,0.2,1.56,2,DOC,,,,Document Solutions,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Passport Photo Services,,"Passport Photo Services: Capture Your Perfect Identity Photo!

- Quick and easy passport photo processing
- Compliant with all official guidelines
- Professional quality images
- Convenient locations and online booking
- Affordable pricing for all budgets

Ensure your passport photo meets all requirements with our expert services. Don’t wait—get your passport photo taken today and travel with confidence!",Unit,$49.00 ,38.22,0.2,7.644,2,DOC,,,,Document Solutions,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Performance Management Systems,,,Unit,,0,0.2,0,3,HRA,,,Service,"Employee Benefits, Performance Management, Workforce Management",Yes,3. HR & Administrative Services (3%20HR%20&%20Administrative%20Services%20091683c48f2945869941de15fdab8184.csv),,,,,
Print Service A-0C1L2C4B,,,Unit,$5.00 ,3.9,0.2,0.78,2,DOC,,,Service,"Document Solutions, Professional Printing",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service B-1C1L5C10B,,,Package,$10.00 ,7.8,0.2,1.56,2,DOC,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service C-3C2L15C20B,,,Package,$20.00 ,15.6,0.2,3.12,3,DOC,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service D-10C4L40C50B,,,Package,$40.00 ,31.2,0.2,6.24,5,DOC,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service E-15C5L50C80B,,,Package,$60.00 ,46.8,0.2,9.36,5,DOC,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service F-15C5L60C100B,,,Package,$80.00 ,62.4,0.2,12.48,2,DOC,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service G-Custom,,"Print Service G-Custom: Elevate Your Printing Experience!

- Unit Price: $100.00
- Commission Rate: 0%
- Product Active: Yes
- Product Owner: Cody Rice-Velasquez

Transform your printing projects with our G-Custom service, designed for quality and efficiency. Perfect for businesses and individuals alike, this service ensures your prints stand out. Don't miss out on the opportunity to enhance your printing needs—try Print Service G-Custom today!",Package,$100.00 ,78,0.2,15.6,2,DOC,,,Service,"Document Solutions, Professional Printing",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Service P-Passport Photo,,"Print Service for P-Passport Photos: Capture Your Perfect Look!

- High-quality passport photo printing
- Unit price: $30.00
- No commission fees
- Product actively available
- Managed by Cody Rice-Velasquez

Get your passport photo done right with our professional print service. Ensure your travel documents are ready with a stunning photo that meets all requirements. Order now and step confidently into your next adventure!",Package,$30.00 ,23.4,0.2,4.68,2,,,,Service,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Print Services (Various Packages),,,Unit,$0.10 ,0.078,0.2,0.0156,2,,,,,Professional Printing,Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Process Optimization,,"Unlock unparalleled efficiency with our Process Optimization service!

- Active Product: Yes
- Service Duration: 24 hours
- Unit Price: $2,499.00

Transform your operations and maximize productivity with our expert-led optimization strategies. Experience the difference today—contact us to elevate your business performance!",Unit,"$2,499.00 ",1949.22,0.01,19.4922,3,COS,Planning,Internal Revenue Service,Service,Business Strategy,Yes,7. Other Business Support (7%20Other%20Business%20Support%20bdf30fd7aef6412797de973437b543fd.csv),,,-1,,
Project Consulting,,"Project Consulting: Unlock Your Potential with Expert Guidance!
• Unit Rate: Charged by the hour
• Commission Rate: 1%
• Active Product: Yes
• Entity Type: Internal
• SubCategory: Planning
• Product Code: COS
• Unit Price: $49.00
• Product Type: Service
Transform your projects with our professional consulting services. Whether you're in the planning phase or need strategic insights, our expertise is here to help you succeed. Don't miss out—contact us today to elevate your project outcomes!",Hour,$49.00 ,38.22,0.01,0.3822,5,COS,Planning,Internal,Service,Business Strategy,Yes,7. Other Business Support (7%20Other%20Business%20Support%20bdf30fd7aef6412797de973437b543fd.csv),,,-1,,
Recruitment & Onboarding Support,,,Unit,,0,0.2,0,2,HRA,,,Service,"Employee Benefits, Recruitment Services, Workforce Management",Yes,3. HR & Administrative Services (3%20HR%20&%20Administrative%20Services%20091683c48f2945869941de15fdab8184.csv),,,,,
Registered Agent Services,,"Registered Agent Services: Your Trusted Partner for Business Compliance!

- Yearly service with a unit price of $99.00
- Active product ensuring your business stays compliant
- 12 hours of dedicated service duration
- Product Code: BIZ

Ensure your business meets all legal requirements with our reliable Registered Agent Services. Don't leave your compliance to chance—partner with us today for peace of mind!",Yearly,$99.00 ,77.22,0.2,15.444,3,BIZ,State,,Service,"Business Licensing, Compliance Services, Corporate Governance",Yes,1. Business Formation and Compliance (1%20Business%20Formation%20and%20Compliance%2078d423d4f12d4eb8a34c14a13e66894b.csv),,,-1,,
Remote Access Solutions,,,Unit,$499.00 ,389.22,0.2,77.844,5,ITA,,,Service,"Comprehensive IT Solutions, Remote Access Services, Technology Integration Services",Yes,4. IT Services (4%20IT%20Services%20bd8f95320bf8455ca1ef29316763d99a.csv),,,-1,,
Shipping,,,Unit,$9.99 ,7.7922,0.2,1.55844,2,,,,Service,"Freight Solutions, Logistics Management, Shipping Services",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
Software Installation & Support,,,Hour,$99.00 ,77.22,0.2,15.444,4,ITA,,,Service,"Business IT Support, Comprehensive IT Solutions, Technology Integration Services",Yes,4. IT Services (4%20IT%20Services%20bd8f95320bf8455ca1ef29316763d99a.csv),,,-1,,
STAMPS,,,,$1.00 ,0.78,0.2,0.156,2,,,,Service,"Delivery Management, Postal Solutions, Stamp Services",Yes,6. Document Services (6%20Document%20Services%2061989c549bbc42f5b36cb3ea8d73310a.csv),,,-1,,
System Maintenance & Updates,,,Hour,$99.00 ,77.22,0.2,15.444,2,ITA,,,Service,"Business IT Support, Comprehensive IT Solutions, Technology Integration Services",Yes,4. IT Services (4%20IT%20Services%20bd8f95320bf8455ca1ef29316763d99a.csv),,,-1,,
Tax Service A. Individual Return,,"Discover the ultimate solution for your tax needs with our Tax Service A for Individual Returns!

- Form: 1040
- Unit Rate: Unit
- Commission Rate: 0.4
- Product Active: Yes
- Entity: Internal Revenue Service
- SubCategory: Individual
- Product Code: caT: TAX
- Unit Price: $129.00
- Product Type: Service

Streamline your tax filing process with our expert service designed for individuals. Don't miss out on maximizing your returns—choose our Tax Service A today!",Unit,$129.00 ,100.62,0.4,40.248,2,TAX,Individual,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,1040,
Tax Service B. Head of Household,,"Tax Service B: Maximize Your Refund with Head of Household Filing!

- Form: 1040, CTC
- Commission Rate: 0.4
- Unit Price: $149.00
- Product Type: Service
- Entity: Internal Revenue Service
- SubCategory: HOA
- Product Code: caT: TAX
- Product Active: Yes

Unlock the benefits of filing as Head of Household and ensure you receive the maximum tax refund possible. Our expert tax service is designed to simplify your filing process and optimize your returns. Don't miss out—take advantage of our professional services today!",Unit,$149.00 ,116.22,0.4,46.488,2,TAX,HOA,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),Tax Service B1. Student Return (Tax%20Service%20B1%20Student%20Return%2015df84a0440281d9916cceff0ac6cf0a.csv),39,-0.7382550336,"1040, CTC",
Tax Service B1. Student Return,,"Tax Service B1: Simplify Your Student Tax Returns!

- Form: 1040
- Commission Rate: 0.4
- Unit Price: $39.00
- Entity: Internal Revenue Service
- Product Type: Service
- SubCategory: Student
- Product Code: caT: TAX
- Product Active: Yes

Experience hassle-free tax filing with our specialized Tax Service B1 designed for students. Get expert assistance at an affordable price and ensure you maximize your tax benefits. Don’t wait—take control of your tax return today!",Unit,$39.00 ,30.42,0.4,12.168,2,TAX,Student,Internal Revenue Service,Service,Business Strategy,Yes,Tax Service B. Head of Household (Tax%20Service%20B%20Head%20of%20Household%2015df84a0440281a89ce8cc95512cba5d.csv),,,-1,1040,
Tax Service C. Contractor Return,,"Unlock your financial potential with our Tax Service C. Contractor Return!
• Form: 1040, SCHC
• Unit Rate: Unit
• Commission Rate: 0.4
• Product Active: Yes
• Entity: Internal Revenue Service
• SubCategory: Contractor
• Product Code caT: TAX
• Unit Price: $199.00
• Product Type: Service
Experience hassle-free tax filing tailored for contractors. Our expert service ensures compliance and maximizes your returns. Don't miss out on optimizing your tax situation—get started today!",Unit,$199.00 ,155.22,0.4,62.088,2,TAX,Contractor,Internal Revenue Service,Service,"Business Licensing, Risk Management, Tax Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,"1040, SCHC",
Tax Service D. Business Owner Return,,"Unlock your business potential with our Tax Service D for Business Owners!

- Comprehensive tax preparation with Form 1040, SCHC, and SCHE
- Affordable unit price of $299.00
- Competitive commission rate of 0.4
- Active product ensuring timely service
- Trusted by the Internal Revenue Service

Take the stress out of tax season and ensure your business is compliant and optimized for success. Experience our expert services today and maximize your returns!",Unit,$299.00 ,233.22,0.4,93.288,5,TAX,Owner,Internal Revenue Service,Service,"Business Strategy, Risk Management, Tax Preparation Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,"1040, SCHC, SCHE",
Tax Service E. Business Partners,,"Unlock the potential of your business with our premier Tax Service tailored for partners!

- Form: 1065 for seamless tax reporting
- Competitive commission rate of 0.4
- Affordable unit price at $399.00
- Active product ensuring up-to-date compliance
- Trusted by the Internal Revenue Service

Experience hassle-free tax preparation and maximize your business efficiency. Don’t miss out on the opportunity to streamline your tax services—contact us today to get started!",Unit,$399.00 ,311.22,0.4,124.488,4,TAX,Partners,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,1065,
Tax Service F. Corporate - Business Tax Filing (1120S-1120 with state),,"Maximize your business's tax efficiency with our comprehensive Corporate Tax Filing service!

- Forms Covered: 1120, 1120S
- Commission Rate: 0.4
- Unit Price: $499.00
- Entity: Internal Revenue Service
- Product Type: Service
- Active Status: Yes

Our expert team ensures accurate and timely filing to help you navigate the complexities of corporate taxes. Don't leave your business's financial health to chance—take advantage of our professional tax services today!",Unit,$499.00 ,389.22,0.4,155.688,4,TAX,Corporate,Internal Revenue Service,Service,"Business Licensing, Corporate Governance, Risk Management",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,"1120, 1120S",
Tax Service I. ITIN Application,,"Unlock your financial potential with our ITIN Application Tax Service!

- Form Submission: Complete assistance with IRS Form 1040 and W7
- Affordable Pricing: Only $249.00 for comprehensive service
- Expert Guidance: Navigate the application process with ease
- Commission Rate: Enjoy a competitive commission rate of 0.4
- Active Product: Our service is currently available and ready for you

Don't let tax complexities hold you back. Take the first step towards securing your ITIN today and experience our top-notch service!",Unit,$249.00 ,194.22,0.4,77.688,2,TAX,ITIN,Internal Revenue Service,Service,"Business Licensing, Document Solutions, Tax Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),"Tax Service I2. W7-ITIN Application & Processing (Tax%20Service%20I2%20W7-ITIN%20Application%20&%20Processing%20fad148dde67c4a5eafac3f09c0a84ceb.csv), Tax Service I2 - COA Only (Tax%20Service%20I2%20-%20COA%20Only%2015df84a0440281edb0d6e83b35480179.csv)",258,0.03614457831,"1040, W7",
Tax Service I2 - COA Only,,"Unlock your path to tax compliance with our Tax Service I2 - COA Only!

- Form: W7COA
- Unit Rate: Unit
- Commission Rate: 0.4
- Product Active: Yes
- Entity: Internal Revenue Service
- SubCategory: ITIN
- Product Code: TAX
- Unit Price: $59.00
- Product Type: Service

Experience hassle-free tax services tailored to your needs. Take the first step towards seamless tax filing and compliance today!",Unit,$59.00 ,46.02,0.4,18.408,2,TAX,ITIN,Internal Revenue Service,Service,Tax Compliance Services,Yes,Tax Service I. ITIN Application (Tax%20Service%20I%20ITIN%20Application%2015df84a0440281248d5fdc4aa7c3f64f.csv),,,-1,W7COA,
Tax Service I2. W7-ITIN Application & Processing,,,Unit,$199.00 ,155.22,,0,2,,,,,"ITIN Application, Tax Compliance, Tax Services",Yes,Tax Service I. ITIN Application (Tax%20Service%20I%20ITIN%20Application%2015df84a0440281248d5fdc4aa7c3f64f.csv),,,-1,,
Tax Service N. 1099 Filings,,"Unlock seamless tax filing with our expert 1099 services!

- Form 1099 Filings: Ensure compliance with IRS regulations.
- Competitive Commission Rate: Enjoy a low 0.4 commission rate.
- Affordable Pricing: Only $99.00 per filing.
- Active Product: Our services are fully operational and ready for you.
- Ideal for Contractors: Tailored specifically for contractor needs.

Experience hassle-free tax service that simplifies your filing process. Don’t wait—take advantage of our 1099 filing service today!",Unit,$99.00 ,77.22,0.4,30.888,2,TAX,Contractor,Internal Revenue Service,Service,Tax Compliance Services,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,1099,
Tax Service S. Sales Tax Return Filing,,"Unlock hassle-free sales tax return filing with our expert Tax Service S!

- Form Type: SALES
- Commission Rate: 0.4
- Unit Price: $49.00
- Entity: Internal Revenue Service
- Product Type: Service
- Active Status: Yes

Experience seamless compliance and peace of mind with our dedicated service. Let us handle your sales tax return filing efficiently—contact us today to get started!",Unit,$49.00 ,38.22,0.4,15.288,2,TAX,Sales,Internal Revenue Service,Service,Document Solutions,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,SALES,
Tax Service X.  709-Estate & Gift Tax Return Filing,,"Maximize your tax efficiency with the 709-Estate & Gift Tax Return Filing service!

- Form: 709
- Commission Rate: 0.4
- Unit Price: $49.00
- Entity: Internal Revenue Service
- SubCategory: Gift
- Product Type: Service

Ensure compliance with IRS regulations while minimizing your tax liabilities. Take advantage of our expert service today and simplify your estate and gift tax filing process!",Unit,$49.00 ,38.22,0.4,15.288,3,TAX,Gift,Internal Revenue Service,Service,Tax Compliance Services,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,709,
Tax Service X.  940-45-Payroll Tax Return Preparation,,"Payroll Tax Return Preparation made easy! Our comprehensive service ensures your payroll tax returns are filed accurately and on time.

- Covers Forms: 940, 941, 942, 943, 944, 945
- Competitive commission rate of 0.4
- Affordable unit price of $99.00
- Trusted by the Internal Revenue Service
- Active and reliable service for all payroll needs

Don't let payroll tax preparation overwhelm you. Choose our expert service today and streamline your tax filing process!",Unit,$99.00 ,77.22,0.4,30.888,5,TAX,Payroll,Internal Revenue Service,Service,"Business Licensing, Corporate Governance, Risk Management",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,"940, 941, 942, 943, 944, 945",
Tax Service X. 990-Non-Profit Tax Return Preparation (990),,"Prepare your 990 Non-Profit Tax Return with ease and accuracy!

- Form: 909
- Commission Rate: 0.4
- Unit Price: $69.00
- Entity: Internal Revenue Service
- Product Type: Service
- Active Status: Yes

Ensure compliance and maximize your non-profit's potential with our expert tax return preparation service. Don't wait—get started today and simplify your tax filing process!",Unit,$69.00 ,53.82,0.4,21.528,5,TAX,Non-Profit,Internal Revenue Service,Service,"Non-Profit Tax Services, Tax Compliance, Tax Preparation Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,909,
Tax Service X. 1040x-Amended Tax Return Filing,,"Amend your tax return effortlessly with the 1040X Amended Tax Return Filing service!

- Form: 1040X
- Unit Rate: Unit
- Commission Rate: 0.4
- Entity: Internal Revenue Service
- SubCategory: Amended
- Product Code: TAX
- Unit Price: $199.00
- Product Type: Service

Ensure accuracy and compliance with your tax filings. Take control of your finances today and utilize our 1040X service for a seamless amended tax return experience!",Unit,$199.00 ,155.22,0.4,62.088,2,TAX,Amended,Internal Revenue Service,Service,"Tax Compliance, Tax Filing Assistance, Tax Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,1040X,
Tax Service X1. Bank Statement Review,,"Unlock the potential of your financial records with Tax Service X1's Bank Statement Review!

- Comprehensive review of bank statements
- Expert bookkeeping services
- Affordable unit price of $20.00
- Commission rate of just 0.4
- Trusted by the Internal Revenue Service

Ensure your financial accuracy and compliance with our dedicated service. Experience peace of mind and clarity in your bookkeeping—try Tax Service X1 today!",Unit,$19.00 ,14.82,0.4,5.928,3,TAX,Bookkeeping,Internal Revenue Service,Service,"Business Strategy, Document Solutions, Risk Management",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,BANK,
Tax Service X2. Transaction Review,,"Tax Service X2: Streamline Your Financial Management Today!
• Comprehensive transaction review services
• Affordable unit price of just $0.50
• Competitive commission rate of 0.4%
• Backed by the Internal Revenue Service
• Ideal for bookkeeping needs
Optimize your financial processes with Tax Service X2. Experience efficient and reliable service tailored to your needs. Start enhancing your bookkeeping today!",Unit,$1.00 ,0.78,0.4,0.312,2,TAX,Bookkeeping,Internal Revenue Service,Service,"Business Strategy, Document Solutions, Risk Management",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,TRAN,
Tax Service X3. Additional State Returns,,"Unlock seamless tax filing with Tax Service X3, your go-to solution for additional state returns!

- Form Type: STATE
- Unit Rate: Unit
- Commission Rate: 0.4
- Product Code: caT: TAX
- Unit Price: $50.00
- Entity: Internal Revenue Service
- Product Type: Service
- SubCategory: State
- Active Status: Yes

Experience hassle-free tax preparation and ensure compliance with state regulations. Choose Tax Service X3 today for efficient and reliable service!",Unit,$49.00 ,38.22,0.4,15.288,2,TAX,State,Internal Revenue Service,Service,"State Compliance Services, Tax Filing Solutions, Tax Preparation Services",Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,STATE,
Tax Service X4. Additional Forms,,"Tax Service X4: Simplify Your Tax Filing Experience!

- Affordable unit price of $15.00
- No commission fees
- Active product ensuring reliable service
- Managed by experienced owner Cody Rice-Velasquez

Experience hassle-free tax preparation with Tax Service X4. Take the stress out of filing your taxes and maximize your returns. Start using Tax Service X4 today for a seamless tax experience!",Unit,$19.00 ,14.82,0,0,4,TAX,IRS,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,,
Tax Service X5. K1 Add Ons,,"Tax Service X5: Simplifying Your Tax Filing Experience!

- Unit Price: $100.00
- Commission Rate: 0%
- Product Active: Yes
- Product Owner: Cody Rice-Velasquez

Experience hassle-free tax preparation with Tax Service X5. Our expert services ensure you maximize your returns while minimizing stress. Don’t miss out on a smoother tax season—choose Tax Service X5 today!",Unit,$99.00 ,77.22,0,0,5,TAX,IRS,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,,
Tax Service XX. Tax Planning & Advisory Services,,"Tax Planning & Advisory Services: Optimize Your Financial Future Today!

- Comprehensive tax planning and advisory services
- Expert guidance from experienced professionals
- Tailored strategies to minimize tax liabilities
- Hourly rate of just $49.00
- Commission rate of 0.4 for added value
- Active product backed by the Internal Revenue Service

Take control of your financial future with our specialized tax planning services. Contact us today to start maximizing your savings!",Hour,$49.00 ,38.22,0.4,15.288,5,TAX,Planning,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,All,
Tax Service XX. Tax Resolution & IRS Representation,,"Unlock peace of mind with our expert Tax Resolution & IRS Representation services!

- Comprehensive support for all tax-related issues
- Hourly rate of $49.00 for personalized assistance
- 40% commission rate for effective representation
- Active service designed to navigate IRS complexities
- Trusted by clients for reliable and professional support

Don’t let tax problems overwhelm you. Contact us today to resolve your IRS issues and regain control of your financial future!",Hour,$49.00 ,38.22,0.4,15.288,10,TAX,Represent,Internal Revenue Service,Service,Business Strategy,Yes,2. Tax Services and Accounting (2%20Tax%20Services%20and%20Accounting%20a04888fe9ff842f0881033746b15a9ec.csv),,,-1,All,
Technology Adoption Strategy,,,Unit,$499.00 ,389.22,0.2,77.844,3,ITA,,,Service,"Digital Transformation, Technology Integration Services",Yes,4. IT Services (4%20IT%20Services%20bd8f95320bf8455ca1ef29316763d99a.csv),,,-1,,
Training Program Development,,,Unit,,0,0.2,0,5,HRA,,,Service,"Employee Benefits, Training Compliance, Workforce Management",Yes,3. HR & Administrative Services (3%20HR%20&%20Administrative%20Services%20091683c48f2945869941de15fdab8184.csv),,,,,
Vendor Selection & Management,,,Unit,,0,0.2,0,3,HRA,,,Service,Event Management,Yes,3. HR & Administrative Services (3%20HR%20&%20Administrative%20Services%20091683c48f2945869941de15fdab8184.csv),,,,,
Website Initial Setup,,,Unit,$199.00 ,155.22,0.2,31.044,5,ITA,,,Service,"Comprehensive IT Solutions, Technology Integration Services, Website Development",Yes,4. IT Services (4%20IT%20Services%20bd8f95320bf8455ca1ef29316763d99a.csv),,,-1,,
Wedding Officiation,,"Wedding Officiation Services – Create Unforgettable Moments!

- Professional officiant services for your special day
- Commission rate: 0%
- Active product with a service duration of 1 hour
- Affordable unit price: $199.00
- Registered with the Indiana Secretary of State

Make your wedding ceremony memorable with our dedicated officiation services. Book now to ensure your love story is celebrated beautifully!",Unit,$199.00 ,155.22,0.01,1.5522,2,COS,Wedding,Indiana Secretary of State,Service,Event Management,Yes,7. Other Business Support (7%20Other%20Business%20Support%20bdf30fd7aef6412797de973437b543fd.csv),,,-1,,
Workplace Safety Compliance,,,Unit,,0,0.2,0,3,HRA,,,Service,Training Compliance,Yes,3. HR & Administrative Services (3%20HR%20&%20Administrative%20Services%20091683c48f2945869941de15fdab8184.csv),,,,,