Business Name,Address,Address Line 2,City,State,ZIP,Country,Entity Report Due,Entity Report Past Due,Pending Dissolution,Dissolved,date close
JCM REMODELING LLC,3432 ELLEN DR.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
JESSI'S ACCESORIES LLC,2725 FALCON DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
JMC CONTRACTORS LLC,5410 BURGESS AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
JMG PAINTING AND CONSTRUCTION LLC,5323 W 53RD ST,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
JORGE OSORINIO LLC,4458 ARISTOCRAT LN,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Jose Bernabe Badillo Fuentes LLC,4725 W 52ND ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
Jose Luis Reyes Salazar LLC,9998 DIANE WEST DR,COLUMBUS,COLUMBUS,IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
JOSE LUIS REYES SALZAR LLC,2220 TYLER DR,COLUMBUS,COLUMBUS,IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
Jose Mateo Miguel Baltazar LLC,1335 E 96TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46240,USA,FALSE,FALSE,FALSE,FALSE,
JOSEFA HERNANDEZ VERA LLC,1306 W WALNUT ST,WASHINGTON,WASHINGTON,IN,47501,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA ESMERALDA LLC,2831 EMBASSY ROW APT 907,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA PANDORA LLC,3585 COMMERCIAL DR STE 100,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA PANDORA LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
JOYERIA REYNA LLC,548 N. BELMONT AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Juan Antonio Construction LLC,3060 EAGLEDALE DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Juan Carlos Mejia Villalobos LLC,6535 CROSS KEY DR,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
JUAN GARCIA DURAN LLC,6200 BROOKVILLE RD,"LOT 196, INDIANAPOLIS","LOT 196, INDIANAPOLIS",IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
Justo Rogelio Fuentes Morales LLC,4725 MADISON AVE,"40, INDIANAPOLIS","40, INDIANAPOLIS",IN,46225,USA,FALSE,FALSE,FALSE,FALSE,
Kathy's Rides LLC,3002 W. 16TH ST APT A,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
KEVIN ALONSO VARGAS LLC,4727 E 33 ST,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
KONDOR HIGH PERFORMANCE LLC,2045 E MINNESOTA ST,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
L&C FLOORING LLC,420 S LYNHURST DR,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
LA BOUTIQUE DE LAS JOYAS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
La Burbuja LLC,3585 COMMERCIAL DR,"STE 830, INDIANAPOLIS","STE 830, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
"LA FIESTA BURRITO LLC,",2122 VETERANS MEMORIAL PKWY S. SUITE B,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
LA FORTALEZA LLC,3585 COMMERCIAL DRIVE STE 404,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
LA MIXTECA RESTAURANT INC,1802 GODER DR,FRANKFORT,FRANKFORT,IN,46041,USA,FALSE,FALSE,FALSE,FALSE,
LALOS CLEANING PRODUCTS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
LARA LOPEZ LLC,2021 N DEARBORN ST ,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
LeMonique Beauty Salon LLC,2112 FAIR OAKS DR APT B,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
LEOPOLDO E LIZARDO LLC,3530 MISSION DR ,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Libeth Lopez Miranda LLC,3411 ASHLEY LANE APT A,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
LMW Painting LLC,2902 DONNA BELL DR,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
LORENA L LAZO MENDEZ LLC,6416 WHITEHAVEN RD APT 1130,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
Los Sabores de Andrea LLC,3140 CHRYSLER ST,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Luis Nicolas Felipe LLC,1040 KATHERINE CT,"3, SEYMOUR","3, SEYMOUR",IN,47274,USA,FALSE,FALSE,FALSE,FALSE,
"M & V INDY PHONE REPAIR, LLC",3585 COMMERCIAL DR ,"# 233, INDIANAPOLIS","# 233, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Mabel Alvarez Rivera LLC,3448 W. 10TH ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
MALAGON'S LLC,3968 S. 1300 E,MACY,MACY,IN,46951,USA,FALSE,FALSE,FALSE,FALSE,
MALDONADO LLC,1314 N GRANT AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
Manuel Lopez Gonzalez LLC,2850 EMBASSY ROW,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARIA A GONZALES LLC,60 PORT O CALL DR APT C,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARIA SALGUERO SANTOS-MEJIA LLC,5316 W 36TH ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARILYN LLC,5640 W 38TH ST,"6, INDIANAPOLIS","6, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
MARIN ENTERPRISE LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
MARIO GUZMAN-PECINA LLC,9133 BREEN CT,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Maritza Areli Guevara Abarca LLC,945 KETCHAM ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Martir Figueroa LLC,921 W 1ST ST ,ANDERSON,ANDERSON,IN,46016,USA,FALSE,FALSE,FALSE,FALSE,
Marval's LLC,2725 EMBASSY ROW 423,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARVIN A PINEDA LLC,5030 ELLIOT AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Mechanic Auto Motors LLC,17367 CAYUGA DR,WESTFIELD,WESTFIELD,IN,46074,USA,FALSE,FALSE,FALSE,FALSE,
MEGA BALEADAS INDY LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Mendez Butterflies LLC,7208 KINGSWOOD CT,"208, INDIANAPOLIS","208, INDIANAPOLIS",IN,46256,USA,FALSE,FALSE,FALSE,FALSE,
Mendozaa LLC,8 BINGHAM COURT,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
MERARYS BOUTIQUE LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Milton A Garcia Salguero LLC,3541 N GLADSTONE AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
MK JESSIE LLC,903 1/2 S AUBURN ST,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
Molina Holdings LLC,3876 AMARANTH CT.,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
Montana Construction LLC,6336 AUTUM VALLEY TRACE,UTICA,UTICA,KY,42376,USA,FALSE,FALSE,FALSE,FALSE,
MORALES BROTHERS ROOFING LLC,2337 N CATHERWOOD AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
MORALES ROOFING L.L.C.,5410 NURGESS AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
MORELAND SERVICES LLC,5391 LONGWOODS CT.,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
MUEBLERIA DULCE HOGAR LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
MV COMPUTER GMZ LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
MV INDY PHONE REPAIR GMZ LLC,1225 S. HIGH SCHOOL RD SPC. 50,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
MY ANIME COLLECTION 317 LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
"N & M Cleaning Services, LLC",1532 SHEPARD ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46221,USA,FALSE,FALSE,FALSE,FALSE,
NARCISO JAVIER VELASQUEZ LLC,1936 W VERMONT ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
NATHAN'S INSTALLATION LLC,1433 N MOUNT ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
"New Beginnings Painting, LLC",3114 KESWICK RD,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
OBIDIO ENRIQUE ORELLANA PAJARES LLC,3144 VOIGT DR,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
ORTIZ ELECTRONICOS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Osman Josue Chacon LLC,921 W 1ST ST,ANDERSON,ANDERSON,IN,46016,USA,FALSE,FALSE,FALSE,FALSE,
OX FASHION LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
P & H PAINTING AND REMODELING LLC,4431 EAGLE CREEK PKWY,"206, INDIANAPOLIS","206, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
PALACIOS WATER SYSTEMS LLC,1530 LAWTON AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
PAMELA AND JESUS CLEANING SERVICES LLC,4256 PONZA CT,", INDIANAPOLIS",", INDIANAPOLIS",IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
PATRICIO DIAZ-LANDERO LLC,2153 BRAEBURN PKWY,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
PEDRO XOCHITLA GATICA LLC,2177 WHITE AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46202,USA,FALSE,FALSE,FALSE,FALSE,
PONCE CONSTRUCTION LLC,3816 W 45TH TER,INDIANAPOLIS,INDIANAPOLIS,IN,46228,USA,FALSE,FALSE,FALSE,FALSE,
PONCES JEWELRY LLC,2362 SHELBY ST,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
PRO HERNANDEZ REMODELING LLC,4446 WEST 34TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Quantum Innova People Inc,4817 SHADOW POINTE DR,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
QuantumHR LLP,7305 NANTUCKET COURT,"2C, INDIANAPOLIS","2C, INDIANAPOLIS",IN,46214,USA,FALSE,FALSE,FALSE,FALSE,
Quinteros Venue LLC,3656 GREEN ASH CT,"303, INDIANAPOLIS","303, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
R M R REMODELING LLC,2934 S LOCKBURN ST,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
RAPTORS HOME SERVICES LLC,340 N 19TH AVE,BEECH GROVE,BEECH GROVE,IN,46107,USA,FALSE,FALSE,FALSE,FALSE,
Raul's Construction LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
RAY'S CONSTRUCTION LLC,3137 MELBOURNE RD SOUTH DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46228,USA,FALSE,FALSE,FALSE,FALSE,
Rodriguez Tobar Auto Sales LLC,6337 STOCKPORT RD,"1270, INDIANAPOLIS","1270, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
ROLANDO JOSE ZELEDON BACA LLC,112 S INDIANA AVE,KOKOMO,KOKOMO,IN,46901,USA,FALSE,FALSE,FALSE,FALSE,
Rony Alvarado Lopez LLC,4102 N VINEWOOD AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
"Rosa Roofing, LLC",5201 PATRICIA ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
ROSARIO CARRILLO-SALINAS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
SANDOVAL CONCRETE LLC,4946 ELAINE ST,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
SANTIAGO ALONSO VARGAS LLC,7905 TIMBER RIDGE,"APT F, INDIANAPOLIS","APT F, INDIANAPOLIS",IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
SAYRA NOHEMI SEVILLA ANTUNEZ LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
SCOOP FORCE LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
SCOOTERS CHARGER LLC,768 CARLELY PL,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
Sebastian Pascual Martin LLC,1041 KATHERINE CT,"APT 8, SEYMOUR","APT 8, SEYMOUR",IN,47274,USA,FALSE,FALSE,FALSE,FALSE,
SERVICIOS RICE-VELASQUEZ TAX & MULTISERVICE LLC,3585 COMMERCIAL DRIVE,"730, INDIANAPOLIS","730, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
SILO'S ALTERATIONS AND LEATHER LLC,3840 N ILLINOIS STREET,INDIANAPOLIS,INDIANAPOLIS,IN,46208,USA,FALSE,FALSE,FALSE,FALSE,
SIMILUAN LLC,3420 N RILEY AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
SOLIS CLEANING MANAGEMENT LLC,3640 SALEM ST,INDIANAPOLIS,INDIANAPOLIS,IN,46208,USA,FALSE,FALSE,FALSE,FALSE,
"SRV CAPITAL HOLDINGS, INC.",4817 SHADOW POINTE DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
SRV Property Management LLC,4817 SHADOW POINTE DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
SUN-RAY FOUNDATION REPAIR LLC,2645 PRIEST DR,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
SUPER MERCADO LA PLAZA CORPORATION,2108 VETERANS MEMORIAL PKWY S STE D,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
SURILAND LLC,3585 COMMERCIAL DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
TILE HEHE LLC,9635 E 10TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46229,USA,FALSE,FALSE,FALSE,FALSE,
"TO INDY, WITH LOVE, LLC",3585 COMMERCIAL DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
TRANSCORP INC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Tres Masters Remodeling LLC,9905 SCOTT CT.,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Vega's Lawncare Landscaping LLC,10236 CUMBERLAND POINTE BLVD,NOBLESVILLE,NOBLESVILLE,IN,46060,USA,FALSE,FALSE,FALSE,FALSE,
Veronica Elizabeth Rivera Herrera LLC,1338 NORTON AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46227,USA,FALSE,FALSE,FALSE,FALSE,
VIDEO JUEGOS Y CURIOSIDADES LLC,3585 COMMERCIAL DR LOC 1015,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
"VIDEOJUEGOS Y ASESORIOS, LLC",3585 COMMERCIAL DRIVE,"1016, INDIANAPOLIS","1016, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
VILLA AUTO SERVICE LLC,1336 GROFF AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
VS SHOP LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Wilington David Ortiz Chavarria LLC,2230 HERMITAGE WAY,"616, INDIANAPOLIS","616, INDIANAPOLIS",IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
WM TRANSPORT LLC,3450 MACARTHUR LANE,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
WORLD CLASS CLEANING LLC,10852 LANTERN VIEW DRIVE,"APT 207, FISHERS","APT 207, FISHERS",IN,46038,USA,FALSE,FALSE,FALSE,FALSE,
XOCHITL DE MARIA VAZQUEZ DE LA CRUZ LLC,233 W 29 ST,INDIANAPOLIS,INDIANAPOLIS,IN,46208,USA,FALSE,FALSE,FALSE,FALSE,
ZEA CONSTRUCTION & PAINTING LLC,756 N TREMONT,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,