Issue name,Issues Contact,AMOUNT,Date,Issue Description,Priority Level,Status
Car Payment Bridgecrest Behind,,"$1,808.00",12/16/2024,"Open car payment status with an amount of $1,808.00, dated 12/16/2024.",High Priority,OPEN
"INSURANCE COSTS $1,500.00 PER MONTH",,,,No content,,OPEN
"HONDA WRECK ZAI $2,500.00",,,,No content,,OPEN
"CHASE V. CODY 035477 ($3,664.43)",,"$3,664.43",08/07/2024,No content,High Priority,OPEN
"CHASE V. CODY 035477 ($25,882.44)",,"$25,882.44",08/07/2024,No content,High Priority,OPEN
"CITI V. CODY 002439 ($9,002.49)",,"$9,002.49",10/24/2024,No content,High Priority,OPEN
"AMEX V. CODY 022126 ($23,384.30)",,"$23,384.30",05/16/2024,No content,High Priority,OPEN
"CAPONE V. CODY 030960 ($7,927.44)",,"$7,927.44",07/12/2024,No content,High Priority,OPEN
ADHD,,,,No content,,OPEN
DEPRESSION,,,,No content,,OPEN
ANXIETY,,,,No content,,OPEN
REJECTION SYNDROME,,,,No content,,OPEN
PHONAPHOBIA,,,,No content,,OPEN
NEGLETED AS A CHILD,,,,No content,,OPEN
TRANSGENDER,,,,No content,,OPEN
FRIEND ABANDONMENT,,,,No content,,OPEN
NARCISSISTIC FRIENDS TAKING ADVANTAGE,,,,No content,,OPEN
THEFT BY EMPLOYEES,,,,No content,,OPEN
ATTACKS FROM CLIENTS,,,,No content,,OPEN
FORCLOSURE,,,,No content,,OPEN
SICK MOTHER,,,,No content,,OPEN
ABANDONMENT FROM FATHER,,,,No content,,OPEN
PARTNERS WHO FLAKED,,,,No content,,OPEN
,,,,No content,,OPEN